ID,Conteúdo,Autor,Categoria,Subcategoria,Status,Tags,Última Sincronização,Excluir?
3250,"P6-As instalações elétricas da caixa de interligações sobre a cabina estão em desarranjo. Existem diversos fios expostos. Deve-se proceder a uma reinstalação das fiações em conduites, identificando-as4.3.2 Proteção de equipamentos sob tensão: Todas as partes sob tensão do sistema elétrico, na caixa do elevador, nas paradas, dentro ou em cima da cabinas, devem ser protegidas contra contato acidental. Os condutores localizados na caixa, nas cabinas e na casa de máquinas, com exceção dos cabos de comando que ligam a fiação à caixa, devem ser instalados em condutos conforme a NBR 5410.",Eliseu,,Instalação Elétrica,ok,"fiações em desarranjo, expostas, norma",08/07/2026,FALSE
3200,"Falta o contato elétrico de confirmação de fechamento no alçapão. Necessita regularização.
NM 207 8.11.4.1 Alçapões e portas de emergência devem ser providas com meios manuais de travamento.
8.11.4.2 A trava mencionada em 8.11.4.1 deve ser verificada por meio de um dispositivo elétrico de segurança de acordo com 14.1.2.
a) este dispositivo deve causar a parada do elevador se o travamento deixa de ser efetivo.
b) a volta do elevador ao serviço somente deve ser possível depois de um travamento voluntário por uma pessoa competente. ",Rômulo,,Estrutura Externa e Corrediças,revisado_por_pablo,alçapão sem contato,08/07/2026,FALSE
3201,"Falta a trava no alçapão da cabina dos elevadores, item exigido por norma:
NM 207 8.11.4.1 Alçapões e portas de emergência devem ser providas com meios manuais de travamento.
A falta de trava possibilita a abertura do alçapão pela parte interna da cabina, sujeitando a vandalismo e acidentes.
Necessita regularização.",Rômulo,,Estrutura Externa e Corrediças,revisado_por_pablo,alçapão sem trava no teto da cabina,08/07/2026,FALSE
3202,"Deve-se instalar uma balaustrada (guarda-corpo) no topo da cabina, para evitar acidentes graves envolvendo a queda de pessoas no poço, ao realizar trabalhos sobre a cabina. 
NM 207 8.12 Teto da cabina 8.12.1 Além dos requisitos de 8.3, o teto da cabina deve: 8.12.1 [...] c) dispor de uma balaustrada quando o espaço livre no plano horizontal para além da extremidade do teto da cabina exceder 0,30 m.",Rômulo,,Estrutura Externa e Corrediças,revisado_por_pablo,"cabina sem balaustrada, instalar. Norma",08/07/2026,FALSE
3203,"A balaustrada instalada não possui rigidez adequada ao uso, defletindo excessivamente quando forçada, comprometendo a segurança.
A balaustrada sobre a cabina é item de segurança obrigatório por norma.
Necessita regularização.",Eliseu,,Estrutura Externa e Corrediças,revisado_por_pablo,balaustrada defletindo excessivamente,08/07/2026,FALSE
3204,"A cabina deste elevador é dotada de dispositivo de bloqueio, que possibilita o travamento da cabina nas guias por segurança para determinados procedimentos de manutenção.
Para realizar o travamento, uma barra metálica sobre a cabina é atravessada em um ponto de fixação na guia.
Todavia, falta a instalação do ponto de fixação na guia deste elevador, impossibilitando o procedimento de bloqueio da cabina.
O dispositivo de bloqueio é item de segurança obrigatório por norma para elevadores sem casa de máquinas. Necessita regularização.
 
NM 16042 6.4.3.1 Se o trabalho de manutenção ou inspeção da maquinaria for para ser executado de dentro da cabina ou a partir do teto da cabina e se qualquer tipo de movimento não controlado ou não esperado do carro resultante da manutenção ou inspeção puder ser perigoso para as pessoas, o seguinte se aplica:
a) qualquer movimento perigoso do carro deve ser impedido por um dispositivo mecânico;
b) todo movimento do carro deve ser impedido por meio de um dispositivo elétrico de segurança em conformidade com 14.1.2, a menos que o dispositivo mecânico esteja em sua posição inativa; [...]",Eliseu,,Estrutura Externa e Corrediças,revisado_por_pablo,"dispositivo de bloqueio, faltando instalar o ponto de fixação na guia",08/07/2026,FALSE
3205,"Vista da parte superior da cabina do elevador.
 
A cabina destes elevadores dispensam a instalação de guarda corpo, uma vez que o espaço livre entre a extremidade do teto e as paredes da caixa de corrida são inferiores à 0,30 m.
 
NM 207 8.12.1 [...] c) dispor de uma balaustrada quando o espaço livre no plano horizontal para além da extremidade do teto da cabina exceder 0,30 m.",Rômulo,,Estrutura Externa e Corrediças,revisado_por_pablo,cabina dispensa instalação de guarda corpo,08/07/2026,FALSE
3206,"Vistas geral dos dispositivos instalados na parte superior da cabina.
Os equipamentos foram inspecionados e testados.
Não constatamos irregularidade.",Rômulo,,Estrutura Externa e Corrediças,revisado_por_pablo,"parte superior da cabina, OK",08/07/2026,FALSE
3207,"Pela norma de acessibilidade, a exatidão de nivelamento do elevador no pavimento deve ser de +- 15 mm.
NM 313 5.3.3 Exatidão de parada/nivelamento e distância entre soleiras 5.3.3.1 Em condições normais de funcionamento, a exatidão de parada da cabina do elevador em cada pavimento deve ser de ± 10 mm e deve ser mantida uma exatidão de nivelamento de ± 20 mm.NOTA MERCOSUL – Para o Brasil deve ser mantida uma exatidão de nivelamento de ± 15 mm",Eliseu,,Estrutura Externa e Corrediças,revisado_por_pablo,"exatidão de nivelamento, soleira cabina pavimento",08/07/2026,FALSE
3208,A cabina apresenta um aspecto velho que deprecia o equipamento e o imóvel de uma forma geral. Recomenda-se a revitalização dos internos da cabina.,Eliseu,,Estrutura Interna e Acabamento,revisado_por_pablo,"velho, deprecia o imóvel, revitalização",08/07/2026,FALSE
